Date_Time,Charge_Capacity(Ah),Voltage(V),Current(A)
06-06-2018 08:12,2.427602768,4.261789799,0
06-06-2018 08:14,2.427602768,3.891186237,-2.282102585
06-06-2018 08:16,2.427602768,3.843546391,-2.282165527
06-06-2018 08:18,2.427602768,3.804704189,-2.282175064
06-06-2018 08:20,2.427602768,3.768381596,-2.282195091
06-06-2018 08:22,2.427602768,3.734013081,-2.282100677
06-06-2018 08:24,2.427602768,3.700508595,-2.28209877
06-06-2018 08:26,2.427602768,3.668961048,-2.282154083
06-06-2018 08:28,2.427602768,3.639077663,-2.282112122
06-06-2018 08:30,2.427602768,3.611241817,-2.282132149
06-06-2018 08:32,2.427602768,3.585628986,-2.282090187
06-06-2018 08:34,2.427602768,3.562048435,-2.282096863
06-06-2018 08:36,2.427602768,3.539554119,-2.282172203
06-06-2018 08:38,2.427602768,3.518400669,-2.28217411
06-06-2018 08:40,2.427602768,3.497950077,-2.2821455
06-06-2018 08:42,2.427602768,3.478288174,-2.282196999
06-06-2018 08:44,2.427602768,3.459634304,-2.282114029
06-06-2018 08:46,2.427602768,3.441313267,-2.281823158
06-06-2018 08:48,2.427602768,3.424051762,-2.2821455
06-06-2018 08:50,2.427602768,3.407187939,-2.282138824
06-06-2018 08:52,2.427602768,3.390799046,-2.281811714
06-06-2018 08:54,2.427602768,3.374533176,-2.282138824
06-06-2018 08:56,2.427602768,3.358204365,-2.28212738
